pool	n_souches	loss	gain	ratio_brut	vu	vu_lo	vu_hi	gc_eq	gc_eq_lo	gc_eq_hi	n_dispo
L2.2.1	40	1043	589	1.7707979626485568	0.9374394212121048	0.8473653140977436	1.0370883181337265	0.516145170296152	0.4908967328997045	0.5413114517029901	35405
L4.1.2	40	1809	677	2.672082717872969	1.4145688719491962	1.2950118598464404	1.5451635274791198	0.41415260985814634	0.39290206275683165	0.4357275957898144	3961
L4.3	40	1235	595	2.0756302521008405	1.0988140167438838	0.9964281826332808	1.2117202869573884	0.4764595585993883	0.4521367398477303	0.5008945519297389	14995
L6.1	40	2516	733	3.432469304229195	1.8171085046157482	1.6736073755864842	1.9729139377088358	0.3549739026244569	0.33637031577532966	0.3740264966095253	1031
L1_nu_seul	40	3786	1074	3.525139664804469	1.8661670934630423	1.7439045352411313	1.9970012981489036	0.3488980116618921	0.3336668558060517	0.3644441660256672	21163
L1_alias_seul	40	4194	1214	3.454695222405272	1.8288746418659434	1.7157049888961993	1.9495090807028266	0.3534974598027411	0.339039471531891	0.3682285093884409	3891
