clade	n	k_class	k_lo	k_hi	n_sites	frac_inverse	frac_tierce	frac_non_liftee	loss_pol	gain_pol	ratio_pol	ci95_lo	ci95_hi	ratio_brut
Caprae_La2	40	k9-15	9	15	271	0.0074	0.0000	0.0074	144	88	1.636	1.256	2.132	1.600
Caprae_La2	40	k16-22	16	22	7	0.0000	0.0000	0.1429	5	1	5.000	0.775	32.275	6.000
Caprae_La2	40	k23-29	23	29	176	0.0227	0.0000	0.0114	93	57	1.632	1.175	2.265	1.600
Caprae_La2	40	k30-36	30	36	33	0.5152	0.0000	0.0000	9	4	2.250	0.735	6.886	1.333
Caprae_La2	40	k37-39	37	39	55	0.4909	0.0000	0.0182	15	10	1.500	0.687	3.273	0.655
Caprae_La2	40	racine	40	40	1566	0.4917	0.0006	0.0000	479	230	2.083	1.780	2.437	1.019
Microti	32	terminal	1	1	1122	0.0009	0.0009	0.0018	556	345	1.612	1.409	1.843	1.607
Microti	32	k2-7	2	7	1127	0.0009	0.0018	0.0009	586	331	1.770	1.547	2.026	1.757
Microti	32	k8-13	8	13	50	0.0000	0.0000	0.0400	33	7	4.714	2.130	10.435	5.000
Microti	32	k14-19	14	19	5	0.8000	0.0000	0.0000	0	0	nan	nan	nan	0.500
Microti	32	k20-25	20	25	17	0.4706	0.0000	0.0000	4	3	1.333	0.334	5.320	0.400
Microti	32	k26-31	26	31	475	0.5074	0.0000	0.0021	153	52	2.942	2.151	4.025	1.034
Microti	32	racine	32	32	1009	0.5649	0.0000	0.0000	285	93	3.065	2.426	3.871	1.090
