classe	lignee	gc_observe	vu	gc_eq	S	S_lo	S_hi
4fold	L1	81.5377996922415	1.576946087403047	38.805623636766256	1.9408314179762975	1.7320859651880873	2.185160054865562
4fold	L2	81.5377996922415	0.7859561804294856	55.992415209174986	1.2444870591915083	0.9513243631859736	1.5648182591823925
4fold	L3	81.5377996922415	1.121910582173895	47.12733931396398	1.6003744062807534	1.3421623277047923	1.8988694156475643
4fold	L4	81.5377996922415	1.0334983841223573	49.17633610176644	1.5182908340263297	1.244985826486749	1.7873153535706543
4fold	L5	81.5377996922415	1.3462445860614407	42.62130239706446	1.7826602253729409	1.4114312832141458	2.1905827001296463
4fold	L6	81.5377996922415	1.275855929459325	43.939512473338766	1.7289585679890245	1.4225867462340245	2.0840634041742385
4fold	L7	81.5377996922415	1.416608000183154	41.38031488450797	1.8336065791635556	1.370519548775356	2.4224024217088527
4fold	L9	81.5377996922415	1.8114003936768197	35.569462188634574	2.0794415416798357	1.6939898950421488	2.574852305637276
4fold	Bovis	81.5377996922415	0.6898065452664635	59.1783717965367	1.1139972075075892	0.6885628248040596	1.550149653780027
4fold	Caprae_La2	81.5377996922415	0.8326598583836995	54.5654991800793	1.3022112439093494	0.7269931751368041	2.2335922215070942
4fold	Orygis_La3	81.5377996922415	0.8918937913988001	52.85708978729905	1.3709330759584035	1.0539746749250773	1.7100991685530582
4fold	Microti	81.5377996922415	0.5937367957051798	62.745617889654774	0.964022134695345	0.4725932151822698	1.6274564179367788
0fold	L1	58.03501656879185	2.0760712687250544	32.508999715551845	1.0546883141498506	0.931688097425733	1.1928725750201092
0fold	L2	58.03501656879185	1.0524437289100792	48.72240763117222	0.3753258405331243	0.20164624084995603	0.5423328407204115
0fold	L3	58.03501656879185	1.5261028058924424	39.58667072723161	0.7469283197227056	0.60000024397739	0.8917357649658576
0fold	L4	58.03501656879185	1.2662057056224791	44.1266208764275	0.5602358148231168	0.4162995417629675	0.703889026647259
0fold	L5	58.03501656879185	1.6912836592803053	37.15698999441095	0.8496988219247417	0.6941950184827649	1.0127137840327693
0fold	L6	58.03501656879185	1.8139244179468572	35.537557214476884	0.919703704470395	0.7569313669701618	1.0970144669380422
0fold	L7	58.03501656879185	1.1396971010104613	46.735586991623954	0.4549735458400974	0.22556265996027178	0.6802470719147945
0fold	L9	58.03501656879185	2.1032230805104724	32.224560531288084	1.067681987976751	0.8512637337707447	1.2787981185392083
0fold	Bovis	58.03501656879185	0.885425679796053	53.038420485933464	0.20252426411147392	0.006040442339376474	0.39737875861219757
0fold	Caprae_La2	58.03501656879185	1.0291941848590522	49.280645857432326	0.35298717085954745	0.12515812386893493	0.6874624483935519
0fold	Orygis_La3	58.03501656879185	0.9497895755127304	51.28758572509205	0.27269620122397625	0.07095033815190574	0.4748062672842647
0fold	Microti	58.03501656879185	0.9445870052478915	51.42480111721832	0.26720354110824024	-0.08943852064410203	0.6835967070965128
0fold	La4	58.03501656879185	0.8169347366260784	55.03775010966715	0.12201495056296341	-0.21130909366720704	0.5440957704737435
intergenique	L1	62.584927762592734	2.053926667935074	32.74472863083364	1.2342042631055998	0.889967446527425	1.6236276504952978
intergenique	L2	62.584927762592734	0.8357402606662829	54.47393737701484	0.33501344715755293	-0.04150405467950383	0.6990140404730955
intergenique	L3	62.584927762592734	1.7226908830599084	36.728370679970304	1.0583383895301697	0.7362990380259686	1.441752149037577
intergenique	L4	62.584927762592734	1.204514322158445	45.36146533268597	0.7005272878575678	0.43478844778909137	0.9797251038403121
intergenique	L5	62.584927762592734	1.6226781703447537	38.12896341256194	0.998528830111127	0.6213712649454872	1.422122524215708
intergenique	L6	62.584927762592734	1.6842058655417536	37.254966649071456	1.0357450106078407	0.6930517561598537	1.4175115696157947
intergenique	L7	62.584927762592734	0.9341074993760917	51.70343428804149	0.44628710262841936	-0.09017160581821972	0.9912032457218264
intergenique	L9	62.584927762592734	1.8959713358765018	34.53072851970538	1.1541821398229204	0.6931471805599452	1.7636906278718738
intergenique	Bovis	62.584927762592734	0.8924111066503184	52.84264061259185	0.40062248363237624	0.018645050924524075	0.8614896813263216
