gene	n	rho_q1	p_q1	puissance	mediane_delta	signes_positifs	W	p	verdict
mutT3	9	0.07531446678801507	0.8472940220818163	0.9975	-0.010625791282329544	3	20.0	0.6328125	PAS D'EFFET, a resolution suffisante
dinP	5	-0.05129891760425771	0.934712848108234	0.43725	0.017408123791102514	3	4.0	0.4375	silence de resolution
