classe	n	g2	ddl	g2_par_ddl
T>C	5383	416.5086706713785	240	1.7354527944640772
T>G	2495	379.2591354849932	240	1.5802463978541383
C>A	4161	332.82198070587106	240	1.3867582529411293
C>T	16467	312.9646261962731	240	1.3040192758178046
C>G	3634	265.29213621228723	240	1.10538390088453
T>A	531	208.56864310004616	240	0.869036012916859
