composante	variance	ecart_type	part
inter-lignees (log-ratio)	0.08106932040604516	0.28472674691016503	0.3780522305388317
inter-BioProjects intra-lignee	0.012915911672562955	0.11364819256179552	0.060231036757165804
residuelle inter-souches	0.12045423913016737	0.3470651799448734	0.5617167327040025
