lignee	4fold	0fold	intergenique
L1	1.5581948177407237	2.1225281279970356	1.9921839075773515
L2	0.7754589314813687	1.0358761550034037	0.8774919076552266
L3	1.1189227797044448	1.5229356296961638	1.5908107913120841
L4	1.112474139110335	1.2752854483516112	1.1622963575592211
L5	1.3499627384202468	1.7231958048816547	1.6158997750195399
L6	1.3056429243510177	1.8530916856371473	1.705499703750619
L7	1.6119131543019831	1.1420574213696677	0.8279756664854858
L8	0.17912263123365407	3.813854960525521	
L9	1.9191951509186957	2.0909419088151626	1.9339260391999318
Bovis	0.6561792420463748	0.9009973020558003	0.8790370411278509
Caprae_La2	0.7119230639841467	1.021601440686065	0.6346146926084707
Orygis_La3	0.9003893719223265	0.9724617827894494	0.9653816449957625
Microti	0.47066261635610124	0.9505948524004149	0.881294513513301
Pinnipedii	1.2235962171871755	1.366594940792919	0.48187482434675716
La4	0.7195035931715685	0.8512687431662336	0.683801169288224
Dassie	0.866141551267874	1.801602213103756	1.217526987995986
Suricattae	1.7238516073418064	1.3213283813747372	5.970157514969716
