clade	n_injectees	frac_pool	loss_base	gain_base	vu_base	gc_eq_base	loss_spike	gain_spike	vu_spike	gc_eq_spike	delta_vu_pct	delta_gc_eq_pts
L2.2.1	2	0.05	1043	589	0.9374394212121048	0.516145170296152	1057	591	0.9468075345300694	0.51366145972996	0.9993299946626614	-0.248371056619201
L3	1	0.025	2458	840	1.5490905028225348	0.39229678149627434	2506	862	1.5390332396613682	0.39385069260982597	-0.6492366419419452	0.15539111135516315
L4.1.2	7	0.175	1809	677	1.4145688719491962	0.41415260985814634	1578	603	1.3853639608448982	0.41922323654365895	-2.064580359672081	0.5070626685512614
L4.3	1	0.025	1235	595	1.0988140167438838	0.4764595585993883	1230	607	1.0727304766309538	0.48245539459882625	-2.37379026072341	0.5995835999437926
