lignee	replichore	n_souches	loss	gain	loss_C	loss_G	gain_A	gain_T	reportable	vu	vu_lo	vu_hi	vu_boot_lo	vu_boot_hi	gc_eq
L1	1	40	1683	423	930	753	196	227	True	2.1139843922239283	1.9002255371749384	2.351789260347654	1.8203947085163377	2.495936759705906	0.32113198848945596
L1	2	40	1880	496	877	1003	253	243	True	2.0002391770170624	1.8118191578297598	2.2082539242306813	1.7521142319978587	2.325693304093169	0.333306760227774
L2	1	40	645	380	394	251	189	191	True	0.901849660150132	0.7944901864227413	1.0237166215671056	0.7325991883649354	1.102620340584415	0.5258039165519844
L2	2	40	793	400	315	478	192	208	True	1.0462102061406475	0.9277203550399156	1.179833760773485	0.8769359940003639	1.2768577880629635	0.4887083433554453
L3	1	40	1122	402	643	479	205	197	True	1.4829442751421584	1.3232638749336565	1.6618935684971812	1.2615579272352515	1.7513541800844499	0.4027476613194414
L3	2	40	1336	438	574	762	212	226	True	1.6096746479226396	1.4450102008305248	1.793103239462017	1.3693279994093288	1.903049534995131	0.3831895293139406
L4	1	40	1252	516	731	521	234	282	True	1.2891773160057294	1.1635452795999492	1.4283742809520559	1.1270073734835842	1.4649398639286446	0.43683815710040746
L4	2	40	1456	586	612	844	310	276	True	1.311201735441756	1.1913176948307158	1.4431498822568694	1.129983979277238	1.5113631672288483	0.4326753414317868
L5	1	40	994	312	605	389	156	156	True	1.692738290756847	1.4905700254758556	1.9223269433984904	1.3831063597783693	2.0713449853505024	0.37136917591754914
L5	2	40	1084	352	457	627	169	183	True	1.6251459696441333	1.441033126390594	1.8327818939636897	1.3486156793034476	1.9519721139944994	0.38093119832706324
L6	1	40	1200	386	687	513	200	186	True	1.6517791100472354	1.4728004180508372	1.8525077769866993	1.3525589274589027	2.028163248176509	0.3771053162803546
L6	2	40	1361	382	617	744	177	205	True	1.880184719116116	1.6784750277591274	2.1061347470372125	1.5482960066452336	2.3129755680298296	0.3471999533095518
L7	1	40	412	193	247	165	99	94	True	1.1342216555657683	0.9559832112243659	1.3456917954727814	0.8868968169985656	1.460323180654171	0.4685548932521288
L7	2	40	419	182	188	231	87	95	True	1.214921985984317	1.0208978861800755	1.4458208328268791	0.9130400259021171	1.637556838913355	0.45148317020998713
L8	1	4	4	1	2	2	0	1	False						
L8	2	4	6	3	4	2	2	1	False						
L9	1	36	570	149	312	258	69	80	True	2.032575166625239	1.6971794640904316	2.4342515894132246	1.5639400566326243	2.614968832229189	0.32975274974398633
L9	2	36	640	154	294	346	65	89	True	2.193133200995773	1.839353464649702	2.614958641582237	1.7680318710864211	2.8375460086029047	0.3131720279279774
Bovis	1	40	448	283	286	162	144	139	True	0.8411038219736405	0.7247962355701295	0.9760752120658799	0.6831037871056365	1.0563629752704902	0.5431524219682583
Bovis	2	40	514	268	209	305	129	139	True	1.0121248347599194	0.8731730111169765	1.1731886671890717	0.8375229950785268	1.2448230067373256	0.4969870570278593
Caprae_La2	1	40	225	126	146	79	69	57	True	0.9487897864259418	0.7628814181245794	1.1800026025528128	0.725211257571463	1.42656730055683	0.5131389783369035
Caprae_La2	2	40	247	138	105	142	62	76	True	0.9445471093690807	0.7669372640054615	1.163288424867999	0.6872412745748329	1.2649927290070406	0.5142585618943712
Orygis_La3	1	40	559	311	341	218	169	142	True	0.9550133593015332	0.8313698583693031	1.0970454452526675	0.7849044442520016	1.1747947595705848	0.5115054560840799
Orygis_La3	2	40	647	365	258	389	176	189	True	0.9354426621610308	0.8228023198403377	1.0635032900256258	0.779375268754174	1.1357073570080536	0.5166776673628986
Microti	1	32	255	165	164	91	84	81	True	0.8211344333431787	0.6751029540565997	0.9987539731092542	0.5814281716058379	1.2261368541613518	0.5491082820087219
Microti	2	32	301	180	109	192	87	93	True	0.8824695867965109	0.7336648327862288	1.061455499595567	0.6371942914052336	1.2765209879368875	0.5312170815475156
Pinnipedii	1	15	33	16	17	16	9	7	False						
Pinnipedii	2	15	51	12	23	28	2	10	False						
La4	1	21	145	98	85	60	53	45	True	0.7861401087529232	0.6083994992385564	1.015806672036281	0.5870907291826821	1.1112809534721366	0.5598664937311085
La4	2	21	176	113	81	95	67	46	True	0.8219397439130176	0.6489793928707931	1.0409959854585102	0.5941293284299155	1.2149667402963455	0.5488655721688575
Dassie	1	6	44	10	23	21	3	7	False						
Dassie	2	6	48	18	27	21	9	9	False						
Suricattae	1	5	42	7	23	19	4	3	False						
Suricattae	2	5	36	13	18	18	4	9	False						
