bioproject	clade	n	loss	gain	ratio	ci_lo	ci_hi	depth_med	gc_reads_med
PRJNA1237251	L9	5	159	38	4.184210526315789	2.9370617139237183	5.960929470951717	64.0	0.648725
PRJNA1237251	L1	9	698	187	3.732620320855615	3.1763174661804996	4.386354515255037	73.0	0.648352
