jeu	n	rho_S_pnps	p_S_pnps	rho_S_pi	p_S_pi
n=11 tel que publie en A20	11	-0.7363636363636363	0.009759535959916904	0.5818181818181819	0.06041989621564838
n=11 avec L1 complete	11	-0.8636363636363636	0.0006116938500931701	0.5818181818181819	0.06041989621564838
n=17 panel elargi	17	-0.2622549019607843	0.3092086598982379	0.26715686274509803	0.2999179120959027
n=13 bien pourvues	13	-0.23626373626373626	0.43708354383118136	0.5824175824175823	0.0367413343586543
