lignee	n_replicats	n_moyen	profondeur	largeur	pn_ps_term	sd_term	pn_ps_int	pi	sd_pi	n_term_moyen	S	vu	gc_eq	sous_puissante
L9	40	22.1	34.36930546914785	426.41280820208704	0.8454765149697888	0.0347860339508102	0.9629826823930562	0.0001095535755846155	4.378183178342788e-06	301.875	1.3846428330814178	2.114058207011556	0.3211243764642608	False
L1	40	33.375	34.35154240438574	119.79654636021094	0.9188684028536074	0.04569434039756249	0.8188617684541477	3.0329229733333438e-05	2.5209170470614797e-06	431.55	1.355072043250149	2.052459091942732	0.3276047179926503	False
L6	40	32.1	34.20526677608423	210.1288421448959	0.8738749309280434	0.05092180724673041	0.7946990868258954	5.438652884907497e-05	5.776378646115578e-06	414.1	1.204363353051853	1.7653164058749224	0.3616222714606897	False
L5	40	36.325	34.233026573448434	223.7697875451432	0.905465071171184	0.0611632122268159	0.8315947139774467	5.501252362101179e-05	9.064889666653964e-06	459.55	1.140879022182739	1.656729718601904	0.3764026099449239	False
L3	30	28.966666666666665	34.25361934622724	158.4231147300163	0.834733395481722	0.04294572147153745	0.8489499906364739	4.1275561258883255e-05	5.809718489943463e-06	383.46666666666664	1.073701398288621	1.5490905028225348	0.3922967814962743	False
L4	40	33.1	34.16056569362024	283.0501018621368	0.8705560401384017	0.058299007377223364	0.9068330443976362	7.300559996581485e-05	8.848743321831562e-06	416.425	0.8990836443193059	1.300892064203289	0.4346140419004234	False
L7	40	20.025	34.05707525428635	202.97983544612734	0.8854108014328966	0.05416118627846221	0.8669848500018189	5.2865715817080025e-05	4.217939610706361e-06	243.1	0.7957037688850375	1.173124095026029	0.4601670021002745	False
L2	40	31.275	33.98769929616396	199.3603025367633	0.9520252513104946	0.07061257622682166	0.9666248322673043	4.873306403732408e-05	1.3410367387914763e-05	370.0	0.6117146185973548	0.9759745259693082	0.5060793987257771	False
Caprae_La2	40	28.425	33.85320079287171	384.0863984394023	0.8992126225332185	0.05824155062263673	0.8860772165091844	0.00010345354363349782	1.8859909600240923e-05	350.225	0.5810298824392394	0.9464818073314696	0.5137474166126169	False
Orygis_La3	40	35.075	34.01258373393122	176.6802414567182	0.9326939289800318	0.040994343134182085	0.8587478788801325	4.369746236533975e-05	5.833283931641622e-06	414.725	0.5788713012441666	0.944440952968053	0.5142866377472507	False
Bovis	40	32.6	34.327363895404915	233.14716434251517	0.9035145155661288	0.051161364360468406	0.8706327898914537	5.884836406812477e-05	1.224010169149391e-05	413.425	0.5572796415127921	0.924267478407359	0.5196782730162134	False
Microti	40	24.475	34.05055868790833	333.22738049755475	1.0548052386439197	0.04335151674210453	0.9795973873542264	8.571975656043944e-05	4.378108635099723e-06	253.35	0.4772238772192228	0.8531588406248001	0.5396191508672004	False
La4	40	17.225	34.00590277777778	271.6111857769423	0.7278693242424797	0.05124018294977956	0.8439149901891734	6.773072913264909e-05	9.814089252609682e-06	232.5	0.4195829896539494	0.8053724624517838	0.5539023225390018	False
