variable	n	spearman_global	p_global	spearman_intra_lignee	p_intra_lignee
cov_depth	368	-0.04294665237565217	0.4113980368361534	-0.024645027821900808	0.6374716533864897
gc_reads	355	-0.010345849693994883	0.8459813454609991	-0.00615969827637078	0.9079304194812791
after_q30_rate	355	0.06309575895646505	0.2356996062234049	0.017187545190518495	0.7469073960066877
duplication_rate	355	0.015870336684657375	0.7657152029243574	0.028925034763234284	0.5870051952273091
n_var	368	0.01761560307200703	0.7362659013734307	-0.06179138694495667	0.23702248561503572
insert_size_peak	355	-0.16018919703393994	0.002468939272980115	-0.04604060161433593	0.3871097716464861
