clade	loss	gain	ratio_brut	vu	vu_lo	vu_hi	gc_eq	gc_eq_lo	gc_eq_hi
L9	1210	303	3.9933993399339935	2.114058207011556	1.8639564539659885	2.397718086773751	0.32112437646426084	0.2943151769691211	0.3491673201298876
L1	3786	1074	3.525139664804469	1.8661670934630423	1.7439045352411313	1.9970012981489036	0.3488980116618921	0.3336668558060517	0.3644441660256672
L6.1	2516	733	3.432469304229195	1.8171085046157482	1.6736073755864842	1.9729139377088358	0.3549739026244569	0.33637031577532966	0.3740264966095253
L3	2458	840	2.926190476190476	1.5490905028225348	1.4323770451544684	1.6753140481081852	0.39229678149627434	0.3737878925680286	0.4111204724580415
L4.1.2	1809	677	2.672082717872969	1.4145688719491962	1.2950118598464404	1.5451635274791198	0.41415260985814634	0.39290206275683165	0.4357275957898144
L7	831	375	2.216	1.173124095026029	1.0384630188887605	1.3252471366802323	0.4601670021002745	0.4300618133123283	0.49056568146383933
L4.3	1235	595	2.0756302521008405	1.0988140167438838	0.9964281826332808	1.2117202869573884	0.4764595585993883	0.4521367398477303	0.5008945519297389
Caprae_La2	472	264	1.7878787878787878	0.9464818073314696	0.8141306540571123	1.1003489515413847	0.5137474166126169	0.4761113620030277	0.5512282137803058
Orygis_La3	1206	676	1.7840236686390532	0.944440952968053	0.8595624930292266	1.0377008313843163	0.5142866377472507	0.4907491740682306	0.5377609000765553
L2.2.1	1043	589	1.7707979626485568	0.9374394212121048	0.8473653140977436	1.0370883181337265	0.516145170296152	0.4908967328997045	0.5413114517029901
Microti	556	345	1.6115942028985508	0.8531588406248001	0.7459202371942917	0.9758148003519849	0.5396191508672004	0.5061203103761817	0.5727638518051709
