jeu	n	partielle_S_pn_ps	p_partielle_S_pn_ps	partielle_S_pi	p_partielle_S_pi
panel complet	17	-0.2951093258732324	0.25017405266981424	0.21461082210827281	0.4081425796221293
hors les quatre sous-puissantes de A23	13	0.006308341831429212	0.9836819284369878	0.39396407592706173	0.18286880147996318
