lignee	sous_clade_dense	branche_term_dense	pn_ps_term_dense	pn_ps_int_dense	pi_dense	branche_term_disperse	pn_ps_term_disperse	pn_ps_int_disperse	pi_disperse
L1	L_1.B.1.1.1.1	46.325	0.9126111363281537	0.8680557162087553	3.998634850950937e-05	166.7	0.8852587687873157	0.8391716652694913	0.0001962221553740765
L2	L2.1.2.2.2.3.3	32.0	0.9673469399811649	1.0691672892548438	4.635902741111666e-05	59.475	0.8733943831119841	0.9855225944899022	9.510133843818661e-05
L4	L4.3.2.2.2.2.2.2.1.1.1	1.05	0.744219274248363	0.7152746232523185	5.2377195332182095e-06	137.4	0.8671251763810829	0.805393702096904	0.00015862171163379617
L5	L5.2.2.2.2.2.3.1.1	16.45	0.9340526818270481	0.8747948186515789	3.0813294976948986e-05	105.675	0.877183093021296	0.7857036604758069	0.00010301230666848523
L6	L6.1.1.1.1.1.2.1.1.1.1.2	21.65	0.9063994227114776	0.7583625762238089	4.456648621467998e-05	112.45	0.8055599753997175	0.8415540228728243	0.00013328498878231588
Bovis	Bovis.2.2.1.2.2.2.1.1.1.1.1.10.2.2.2.2.2.2.1	1.325	1.0531537988741417	0.8179601544728664	5.145651524408356e-06	50.9	0.8150347163088171	0.9104757631707024	0.00010309913237074364
Caprae_La2	Caprae_La2.1.2.2.2	7.925	1.097564357391298	0.9364667284607663	1.690938742586379e-05	35.75	0.9634561752841618	0.8721351228635855	0.0001230932895579767
Orygis_La3	Orygis_La3.2.2.2.2.2.2.2	17.75	0.956935239306467	0.9315385201140509	3.812795083702008e-05	56.475	0.8564481623260235	0.8846381841576516	6.86165504519386e-05
